grain_type,initial_moisture_content,avg_internal_temp_c,days_since_fill,aeration_status,remaining_safe_storage_days
Corn,12.27,16.68,177,0,91
Wheat,17.51,31.91,31,0,148
Barley,13.18,33.48,126,1,150
Wheat,11.28,27.74,90,0,173
Corn,13.67,25.49,78,0,139
Wheat,13.85,32.36,53,1,187
Corn,11.87,16.43,35,1,200
Rice,14.43,24.46,70,1,174
Wheat,13.46,16.02,15,0,225
Rice,16.13,25.35,9,1,180
Corn,14.86,30.68,131,1,107
Wheat,13.47,22.89,149,0,142
Corn,11.19,28.48,13,0,163
Rice,17.9,20.8,41,0,161
Rice,17.94,15.33,148,0,79
Corn,12.52,17.09,177,1,151
Wheat,14.7,15.48,43,1,241
Barley,15.54,18.98,28,0,217
Corn,17.1,18.3,176,0,45
Rice,11.85,17.64,74,0,189
Barley,17.43,34.34,92,1,128
Corn,17.78,34.53,176,1,28
Wheat,17.51,15.41,103,0,163
Barley,15.95,15.81,84,0,173
Rice,15.9,21.73,147,0,113
Corn,17.18,21.49,41,0,126
Rice,14.43,31.29,62,0,146
Wheat,14.77,28.89,165,1,141
Barley,11.0,24.94,27,0,204
Rice,16.08,19.03,38,0,168
Barley,14.4,31.77,63,0,172
Barley,15.91,23.65,83,0,173
Wheat,14.34,26.48,132,0,128
Wheat,13.44,33.0,72,1,176
Rice,13.64,29.67,131,0,137
Rice,16.13,22.09,133,0,126
Barley,16.71,16.72,45,0,185
Wheat,14.21,33.4,39,0,202
Corn,12.21,33.58,167,0,42
Wheat,13.63,30.42,36,0,178
Corn,14.27,29.77,28,0,117
Wheat,13.42,29.92,127,1,182
Corn,14.6,30.53,55,1,154
Wheat,15.98,17.85,104,1,168
Rice,12.3,24.4,14,1,220
Corn,14.66,27.69,79,1,111
Wheat,11.38,25.68,157,1,181
Wheat,11.45,25.07,27,0,211
Corn,13.78,21.54,93,1,168
Wheat,16.75,19.46,100,0,154
Rice,16.37,34.18,103,1,107
Rice,11.64,21.61,25,0,178
Corn,13.27,24.21,85,0,150
Corn,12.39,22.46,143,1,113
Wheat,14.96,33.03,53,0,162
Barley,17.29,32.44,179,0,60
Barley,13.56,22.64,101,1,232
Rice,12.61,21.38,59,0,170
Wheat,13.51,32.15,61,0,159
Wheat,17.28,21.25,34,1,209
Wheat,15.56,24.57,42,0,195
Corn,15.48,33.19,117,0,70
Corn,13.17,26.45,112,0,121
Rice,16.53,29.67,128,0,86
Rice,16.02,23.2,23,1,179
Corn,15.15,34.62,21,0,124
Corn,11.58,25.35,38,0,144
Wheat,16.17,33.43,142,0,93
Barley,14.7,25.75,65,0,186
Rice,13.07,28.92,126,0,154
Corn,12.58,15.63,82,1,170
Barley,11.92,24.82,43,0,214
Wheat,16.85,30.28,173,0,101
Wheat,11.23,34.1,108,0,138
Wheat,14.53,17.43,33,1,238
Barley,15.65,17.51,107,0,191
Rice,12.62,17.15,149,0,120
Wheat,17.54,32.49,123,1,136
Corn,17.07,22.77,76,0,84
Rice,14.07,18.8,137,0,119
Rice,13.35,21.37,47,1,220
Rice,17.78,15.47,157,0,97
Wheat,13.11,27.74,139,0,120
Barley,11.37,24.18,13,0,224
Rice,15.2,18.09,176,0,116
Barley,15.14,32.02,173,1,144
Corn,12.87,31.37,11,0,128
Rice,12.11,30.08,167,0,107
Wheat,17.68,32.86,97,0,108
Rice,12.42,34.64,138,0,81
Corn,12.79,32.34,129,0,64
Corn,17.54,34.76,131,1,85
Barley,15.33,19.01,158,1,211
Barley,12.79,18.22,65,1,257
Wheat,14.42,30.97,90,0,135
Barley,13.29,28.78,130,0,150
Wheat,15.38,15.95,81,0,196
Rice,12.19,31.28,91,0,120
Wheat,15.91,15.58,9,0,221
Wheat,11.46,28.52,17,1,245
Wheat,16.37,30.22,62,0,158
Wheat,11.34,15.62,22,0,210
Wheat,17.31,27.64,106,0,122
Wheat,16.75,28.26,14,1,183
Corn,17.86,34.45,174,1,43
Corn,13.08,32.86,167,1,107
Rice,17.28,30.21,26,1,140
Corn,15.92,28.33,108,1,98
Rice,11.95,34.25,165,0,96
Barley,11.71,25.29,133,0,151
Rice,11.11,22.56,10,1,219
Wheat,12.54,26.34,42,1,203
Wheat,16.96,18.02,19,1,208
Corn,14.57,26.58,15,0,154
Wheat,11.29,17.2,5,0,186
Rice,11.42,27.35,53,0,135
Barley,14.66,19.16,165,1,148
Wheat,14.42,26.43,7,0,195
Wheat,11.75,20.42,162,1,183
Corn,14.67,18.48,115,0,127
Barley,11.81,26.03,84,0,187
Wheat,16.99,29.97,81,1,174
Corn,18.0,15.86,69,0,107
Barley,15.9,26.49,163,0,126
Rice,16.4,21.45,142,0,135
Barley,13.85,30.29,7,0,217
Corn,15.97,32.39,45,0,114
Corn,14.78,32.25,122,0,77
Wheat,12.43,15.57,104,1,228
Corn,16.29,19.44,78,0,131
Wheat,13.54,16.93,116,1,235
Corn,13.44,19.76,118,0,113
Corn,17.01,24.88,86,0,76
Corn,17.99,16.18,22,1,143
Wheat,16.25,24.88,97,1,195
Corn,17.15,25.49,67,1,108
Rice,11.28,26.79,28,0,176
Barley,11.8,34.13,56,1,191
Rice,11.63,32.04,8,1,211
Rice,17.35,29.41,123,0,95
Rice,17.54,22.54,151,1,97
Barley,11.71,19.89,143,0,160
Wheat,12.5,24.25,129,0,157
Barley,13.55,31.79,61,0,175
Wheat,13.71,20.24,5,0,217
Barley,11.91,26.44,143,1,231
Wheat,12.45,29.6,17,1,248
Rice,12.52,17.84,89,1,178
Corn,12.47,16.1,146,0,91
Barley,15.28,22.63,136,0,148
Corn,17.71,27.23,148,1,59
Rice,13.59,32.67,146,1,126
Rice,12.03,27.41,7,0,185
Barley,17.43,34.89,9,1,185
Rice,12.54,22.22,104,1,172
Barley,13.63,20.24,171,1,181
Rice,12.75,23.84,113,0,119
Wheat,13.83,24.66,63,1,208
Rice,12.04,20.44,170,1,144
Rice,11.56,25.02,136,0,103
Corn,14.78,27.83,95,0,83
Corn,17.29,33.76,29,0,78
Barley,14.79,30.15,151,1,166
Wheat,17.32,23.09,159,1,116
Rice,12.2,23.26,172,1,127
Wheat,17.86,16.45,163,1,121
Rice,11.69,32.97,55,1,158
Barley,14.09,17.86,125,0,208
Wheat,14.36,21.35,18,1,229
Rice,13.35,17.55,52,0,177
Wheat,17.88,24.36,90,0,153
Barley,12.14,31.9,111,1,216
Barley,15.36,31.6,71,1,186
Wheat,16.75,22.93,45,1,224
Wheat,17.21,30.89,26,1,170
Corn,15.96,22.0,128,0,77
Corn,14.18,15.69,55,1,162
Rice,14.75,26.54,84,0,129
Rice,11.89,28.74,179,0,94
Wheat,14.01,19.83,160,0,152
Rice,16.77,25.08,145,0,64
Rice,15.57,18.74,152,0,113
Wheat,17.9,34.44,105,1,121
Corn,15.09,20.62,125,1,100
Wheat,14.22,17.59,116,1,188
Corn,16.01,25.57,142,0,69
Rice,15.16,26.26,97,1,133
Rice,13.97,34.23,83,0,139
Corn,13.89,18.53,168,0,112
Corn,13.37,22.14,114,0,125
Corn,16.51,17.79,165,0,73
Wheat,13.61,29.74,31,0,224
Barley,12.89,27.7,18,0,183
Wheat,16.69,28.41,147,0,95
Rice,12.08,16.28,137,0,141
Corn,15.73,19.25,104,1,131
Barley,13.7,33.43,159,1,147
Wheat,11.61,30.6,136,1,166
Rice,16.98,30.48,22,0,123
Wheat,11.88,23.33,73,1,205
Barley,16.11,19.05,130,0,142
Wheat,13.0,15.27,5,0,220
Barley,17.17,17.12,86,0,195
Barley,11.42,21.26,139,1,202
Wheat,12.53,23.81,163,0,134
Barley,15.75,19.09,6,0,233
Wheat,14.62,24.55,128,0,130
Wheat,13.29,30.26,165,0,133
Corn,12.72,31.79,5,0,129
Barley,12.17,34.04,83,1,221
Corn,17.02,34.97,35,0,98
Wheat,12.78,26.94,104,0,144
Barley,17.56,25.58,68,1,202
Barley,15.33,34.65,83,0,183
Barley,15.08,34.13,141,1,151
Barley,13.64,32.58,153,0,128
Corn,11.3,18.74,69,0,167
Corn,15.16,22.27,63,1,152
Rice,11.77,34.73,112,0,112
Wheat,11.3,21.26,12,0,219
Corn,11.89,33.25,29,0,112
Corn,16.14,28.87,44,0,119
Corn,14.78,29.77,57,0,129
Wheat,14.99,33.26,56,0,143
Rice,14.98,22.55,133,0,114
Barley,17.13,16.6,101,0,179
Barley,12.33,15.81,63,1,260
Rice,13.32,30.22,114,0,117
Rice,16.22,17.87,139,0,138
Corn,12.12,26.68,89,0,129
Wheat,16.79,27.5,82,0,141
Rice,13.8,20.05,51,0,159
Wheat,14.34,17.18,19,1,248
Rice,17.39,24.15,106,0,112
Wheat,15.4,17.43,150,0,126
Barley,16.05,25.34,64,1,206
Rice,14.97,31.58,94,0,127
Wheat,12.17,33.84,33,0,196
Wheat,12.97,32.6,22,0,210
Wheat,17.86,22.5,5,0,172
Wheat,11.49,31.18,26,0,230
Barley,16.29,24.28,30,1,226
Corn,17.22,34.68,7,0,129
Rice,12.19,28.24,166,0,98
Rice,11.08,33.04,66,0,165
Corn,15.23,31.86,102,1,109
Barley,11.31,24.43,79,0,169
Wheat,17.55,27.02,139,1,138
Rice,11.53,31.35,83,0,123
Wheat,15.9,24.51,122,1,186
Corn,11.43,23.9,177,1,120
Barley,15.32,31.08,71,0,162
Rice,14.27,33.21,40,1,155
Corn,13.13,33.17,124,0,64
Corn,11.34,18.61,106,1,200
Rice,16.19,27.72,155,0,99
Wheat,12.17,16.63,99,1,233
Rice,16.33,15.86,96,0,160
Barley,14.53,16.74,19,1,260
Wheat,14.38,25.88,80,1,207
Wheat,17.81,23.56,136,1,122
Corn,12.09,26.78,174,0,105
Rice,17.81,32.32,172,0,36
Corn,12.12,26.29,142,0,85
Rice,16.48,31.86,171,1,62
Rice,17.15,15.71,73,0,130
Rice,12.0,20.87,160,1,148
Wheat,16.31,34.7,42,0,167
Corn,16.21,20.16,148,0,104
Barley,11.62,32.85,150,0,130
Barley,15.73,32.52,43,0,211
Corn,12.42,19.43,88,0,155
Wheat,13.2,30.88,165,0,98
Corn,16.16,15.58,111,0,97
Barley,15.94,33.14,51,1,211
Wheat,11.22,20.88,86,0,194
Wheat,12.29,34.15,77,0,156
Rice,17.77,22.78,61,0,136
Barley,13.7,33.58,126,1,159
Wheat,17.39,18.22,73,0,187
Rice,15.12,15.43,107,0,121
Rice,13.96,22.43,33,0,189
Corn,12.71,28.92,86,0,133
Wheat,14.94,34.34,116,0,135
Barley,13.76,28.3,168,1,141
Wheat,17.63,15.02,105,0,150
Rice,14.83,22.64,39,1,185
Barley,15.9,34.64,82,1,185
Barley,14.04,24.32,174,1,155
Barley,15.19,19.85,159,1,181
Barley,13.44,32.18,38,0,172
Barley,16.65,17.72,18,0,211
Barley,15.65,29.87,161,1,144
Wheat,13.44,26.44,161,0,139
Corn,12.15,18.42,149,1,122
Corn,14.51,23.94,25,1,150
Corn,17.8,30.09,178,0,24
Corn,15.66,20.17,115,0,116
Corn,13.84,18.95,122,1,142
Barley,17.47,18.22,41,0,210
Rice,13.67,32.24,135,0,76
Rice,16.6,34.45,52,0,121
Wheat,13.69,22.3,123,1,195
Rice,16.89,19.83,163,1,132
Rice,15.14,28.74,100,0,139
Corn,14.73,33.92,98,0,94
Wheat,12.5,18.85,106,0,167
Wheat,14.37,31.58,20,0,183
Wheat,11.04,32.84,128,1,161
Barley,13.5,33.54,86,1,183
Rice,17.89,29.95,141,0,63
Rice,12.78,15.53,12,0,188
Rice,15.07,21.59,153,1,121
Rice,15.84,34.86,148,0,78
Corn,16.84,18.17,127,0,99
Rice,16.35,21.83,162,0,71
Wheat,17.53,20.83,30,1,222
Corn,16.23,24.87,83,0,121
Rice,13.51,25.82,37,1,202
Barley,16.06,20.96,138,1,187
Wheat,17.31,21.42,175,0,116
Corn,13.54,20.54,37,0,158
Barley,12.88,19.94,101,1,223
Corn,11.15,31.69,125,1,94
Wheat,13.84,15.22,131,0,154
Wheat,17.72,19.11,81,0,171
Barley,12.09,26.24,31,0,197
Rice,11.88,33.02,168,0,102
Wheat,11.12,24.92,87,1,224
Rice,11.33,20.25,170,1,131
Rice,15.28,31.75,12,1,193
Rice,17.87,17.19,152,0,102
Barley,13.26,31.12,160,0,146
Barley,17.5,32.4,93,1,166
Wheat,16.57,26.71,114,1,169
Barley,11.31,31.55,19,0,210
Rice,17.07,22.09,53,0,128
Rice,17.84,30.32,82,1,149
Rice,13.85,29.44,51,1,180
Rice,16.52,26.99,103,0,125
Wheat,12.04,31.41,130,0,150
Wheat,11.61,26.88,56,0,198
Barley,14.65,16.7,136,0,188
Barley,17.11,21.96,9,1,260
Corn,13.6,16.78,47,1,200
Rice,15.72,27.17,142,1,116
Barley,12.96,21.35,135,0,171
Barley,11.72,21.37,29,1,258
Barley,13.72,30.31,106,0,170
Barley,16.98,21.64,39,1,226
Rice,12.6,31.54,12,1,207
Rice,13.33,33.2,32,0,156
Corn,12.34,15.39,78,0,147
Barley,15.72,19.72,40,0,230
Rice,17.47,22.04,68,0,125
Barley,12.28,19.41,8,1,257
Rice,12.95,28.54,124,0,115
Rice,14.11,33.66,47,1,187
Barley,11.91,22.44,115,1,246
Barley,17.55,20.84,143,1,153
Rice,14.27,16.8,22,0,205
Corn,11.94,30.83,101,0,113
Barley,16.57,16.64,75,0,198
Barley,16.53,26.1,8,1,214
Barley,16.53,25.31,55,0,185
Wheat,13.48,22.19,109,0,157
Corn,12.91,25.41,85,1,147
Barley,17.77,29.63,122,1,142
Wheat,14.18,29.14,89,1,206
Barley,17.72,23.27,121,1,150
Corn,12.58,29.91,59,0,140
Barley,15.77,32.53,7,0,199
Corn,13.56,30.61,123,0,69
Wheat,14.3,28.54,82,1,203
Corn,12.42,21.62,144,1,126
Wheat,17.81,17.6,123,1,179
Wheat,16.65,26.56,114,1,158
Corn,12.68,20.09,68,0,142
Corn,15.7,23.09,137,0,84
Corn,15.73,33.49,128,1,59
Barley,11.11,30.28,23,0,248
Wheat,17.92,33.35,42,0,161
Corn,14.53,33.86,123,0,59
Rice,13.52,23.24,46,0,186
Wheat,14.47,21.47,154,0,145
Corn,12.37,19.28,161,0,85
Wheat,15.32,24.31,111,1,194
Corn,15.88,17.63,28,0,128
Corn,16.09,22.18,24,0,164
Wheat,13.55,27.88,51,0,168
Corn,17.25,28.56,59,1,108
Rice,17.85,23.37,29,0,110
Barley,12.79,16.28,96,1,236
Corn,13.33,17.45,150,1,175
Wheat,15.63,18.67,16,0,208
Wheat,15.49,20.26,33,1,245
Corn,14.54,16.44,49,1,200
Corn,14.67,19.99,173,0,68
Rice,12.74,19.46,6,0,177
Wheat,16.74,26.42,116,1,166
Wheat,12.47,30.35,66,0,193
Rice,16.25,22.49,74,1,163
Rice,12.35,27.16,124,1,144
Wheat,13.17,30.18,94,0,180
Rice,15.41,22.9,68,0,123
Barley,12.57,26.43,88,0,172
Wheat,11.91,34.12,35,1,227
Wheat,16.35,31.11,43,0,170
Wheat,17.66,33.68,153,1,90
Corn,15.41,24.27,144,1,92
Corn,17.29,32.93,32,0,91
Corn,17.3,16.49,18,1,181
Wheat,16.11,29.14,134,0,105
Corn,16.48,18.74,165,0,63
Wheat,16.67,34.15,162,0,68
Wheat,13.21,18.02,18,0,203
Wheat,15.5,34.5,5,0,200
Barley,11.95,25.13,105,0,184
Barley,16.88,26.37,108,0,149
Rice,14.91,17.4,170,0,118
Rice,13.43,16.46,17,1,220
Rice,14.36,28.68,105,1,124
Wheat,13.7,35.0,6,0,179
Barley,13.06,15.46,83,0,188
Rice,12.3,28.41,119,1,130
Barley,13.05,19.35,130,1,215
Barley,15.3,34.47,92,0,154
Rice,13.09,20.71,86,0,172
Wheat,13.86,30.72,9,1,230
Rice,13.28,28.12,85,0,123
Barley,12.84,25.22,137,1,180
Wheat,12.81,29.4,175,0,122
Wheat,13.21,24.64,164,0,129
Corn,16.62,15.97,98,1,118
Barley,13.26,21.34,17,0,255
Barley,12.26,17.84,15,0,254
Wheat,16.77,21.36,175,1,166
Barley,16.41,25.09,165,0,115
Wheat,14.76,22.7,102,0,156
Corn,16.77,21.34,106,1,93
Wheat,12.53,31.39,92,0,163
Corn,15.18,19.63,151,1,138
Wheat,17.35,30.15,20,0,170
Barley,13.46,26.16,41,0,211
Corn,11.46,32.83,85,0,125
Wheat,15.18,20.5,156,1,156
Corn,15.87,16.59,96,0,114
Corn,14.87,34.37,116,0,68
Wheat,16.21,23.44,145,0,142
Corn,16.93,32.89,84,1,85
Barley,14.19,32.56,107,1,174
Rice,12.28,17.23,85,0,146
Barley,14.64,25.68,98,0,179
Barley,16.26,15.33,25,0,197
Corn,17.4,16.2,125,1,117
Wheat,12.68,26.04,142,1,144
Rice,12.89,16.85,105,1,180
Rice,12.05,23.56,132,1,130
Barley,15.23,18.6,116,0,192
Barley,15.32,31.57,137,0,114
Wheat,12.54,34.78,171,0,139
Wheat,12.53,19.61,56,1,236
Barley,14.83,18.22,132,0,151
Barley,14.58,29.52,84,0,168
Barley,17.73,19.24,42,0,190
Barley,13.09,32.24,125,0,133
Wheat,12.91,22.65,149,0,154
Corn,13.82,24.94,59,1,150
Rice,11.17,28.27,91,1,150
Wheat,11.43,28.42,122,1,174
Corn,11.63,25.88,97,1,143
Barley,17.41,16.09,34,0,219
Wheat,14.41,32.01,58,1,204
Rice,17.62,16.84,89,1,143
Wheat,13.77,25.0,86,1,211
Barley,11.75,32.85,96,0,189
Barley,16.16,25.05,45,0,202
Barley,13.14,33.85,12,1,215
Corn,16.22,33.59,154,1,81
Corn,12.22,32.54,48,0,128
Rice,17.78,20.65,93,0,101
Barley,16.33,29.87,123,0,159
Corn,15.08,26.87,169,1,96
Rice,12.06,25.71,97,0,160
Barley,13.88,28.08,175,1,182
Barley,15.17,28.55,9,1,210
Rice,15.12,32.37,141,1,113
Corn,11.04,27.94,29,0,145
Wheat,12.73,31.09,148,1,143
Corn,11.31,16.01,19,0,182
Corn,17.64,26.16,49,0,123
Rice,15.68,24.27,7,1,187
Rice,17.61,27.25,58,1,149
Barley,11.67,23.77,8,0,189
Corn,16.39,34.79,12,1,121
Wheat,13.48,17.27,58,1,225
Corn,17.42,23.95,9,0,124
Barley,14.58,29.23,58,0,204
Rice,13.1,16.55,28,0,188
Corn,14.03,19.3,35,0,185
Barley,15.75,21.75,30,0,196
Rice,15.43,23.64,49,0,174
Barley,13.39,28.73,15,1,258
Wheat,12.3,26.41,20,0,207
Corn,17.75,18.17,48,0,137
Rice,13.08,25.76,100,0,126
Wheat,12.15,24.6,76,0,197
Corn,17.47,27.92,47,0,76
Rice,14.19,33.53,21,1,166
Rice,14.76,30.01,59,1,162
Corn,17.83,25.43,132,0,63
Corn,11.92,28.17,16,0,156
Wheat,17.39,18.2,62,0,188
Wheat,17.52,28.89,137,1,127
Rice,16.95,17.22,115,0,117
Rice,13.51,26.23,82,0,146
Barley,17.74,27.65,80,1,196
Wheat,14.68,34.14,116,1,162
Rice,12.76,30.08,50,0,145
Corn,17.5,32.68,173,1,37
Barley,15.81,27.13,93,1,195
Wheat,14.05,19.71,96,1,217
Wheat,12.55,34.81,21,0,206
Rice,17.39,20.72,169,1,110
Corn,15.39,19.04,120,0,119
Wheat,12.52,23.74,73,0,189
Corn,12.05,31.69,42,0,131
Rice,12.39,20.34,153,0,131
Rice,13.11,27.46,37,1,203
Barley,11.96,29.24,106,0,158
Barley,17.36,16.34,126,1,170
Barley,11.16,30.3,166,0,145
Barley,16.64,32.8,70,0,176
Rice,14.81,34.07,44,0,157
Rice,16.83,31.94,38,1,146
Wheat,16.1,25.43,65,1,178
Wheat,14.48,28.17,119,1,168
Corn,14.7,27.2,63,1,155
Rice,17.29,16.74,122,0,126
Wheat,16.2,18.24,106,1,174
Wheat,17.57,19.01,61,0,182
Rice,16.86,23.91,11,1,165
Rice,13.84,20.95,35,0,164
Rice,11.71,28.29,159,0,102
Rice,14.13,17.15,46,0,160
Corn,17.04,17.48,66,1,145
Rice,11.34,24.69,153,0,110
Rice,17.24,28.56,104,0,116
Corn,11.89,20.59,86,1,171
Wheat,17.52,28.99,55,0,163
Corn,11.66,18.18,108,1,187
Corn,13.99,16.59,34,1,200
Corn,16.86,34.83,98,0,28
Wheat,14.61,15.67,139,0,141
Rice,15.63,23.95,92,0,124
Wheat,14.88,27.98,117,1,159
Corn,16.73,33.45,130,1,68
Rice,15.15,15.42,75,1,216
Rice,17.39,33.26,123,1,116
Corn,17.78,20.58,173,0,40
Corn,15.96,30.26,26,0,143
Wheat,17.91,27.86,81,1,179
Rice,16.1,15.57,119,1,157
Wheat,12.21,19.99,12,1,250
Rice,13.21,25.4,86,0,134
Wheat,12.28,23.15,23,0,197
Barley,17.17,25.86,7,0,217
Barley,16.0,25.94,138,1,156
Rice,16.92,24.12,54,0,125
Rice,12.16,26.86,155,1,122
Rice,14.06,16.25,46,0,175
Corn,12.13,18.11,153,1,159
Wheat,15.85,20.5,159,1,173
Barley,12.48,32.51,54,1,185
Barley,16.8,15.74,90,0,189
Corn,12.25,31.51,12,1,169
Wheat,16.88,25.54,49,0,151
Corn,16.47,24.1,15,0,142
Corn,13.45,26.06,156,0,71
Corn,13.51,27.28,23,1,188
Wheat,11.1,33.96,139,1,171
